ID_REF  VALUE   PLIER
1552729_at      1.0534952       1.1851996
1552730_at      0.51522195      1.5341573
1552731_at      0.49653158      0.01
1552732_at      0.75501543      1.4473985
1552733_at      0.94619656      0.87617075
1552734_at      1.2510606       0.8550619
1552735_at      1.1885599       1.249124
1552736_a_at    0.5107951       0.31820667
1552737_s_at    0.5015229       0.66740286
1552738_a_at    0.6257887       0.6741357
1552739_s_at    1.0394044       0.72758806
1552740_at      0.9331202       0.49151537
1552742_at      1.3492746       1.1701216
1552743_at      0.45468524      1.0592579
1552745_at      0.4637757       1.0482998
1552747_a_at    0.6970125       0.72555375
1552749_a_at    1.4282379       1.1370994
1552750_at      0.67885655      0.97905606
1552751_a_at    0.9343574       0.83587277
1552752_a_at    0.39758447      0.44584754
1552754_a_at    0.44171542      0.5031017
1552755_at      0.51775366      0.01
1552757_s_at    0.48323318      0.83091795
1552758_at      0.9066853       0.94237936
1552760_at      0.7601484       0.469911
1552761_at      0.9450597       1.0602049
1552763_at      0.6586852       0.5904385
1552765_x_at    0.65657765      0.79322934
1552766_at      0.571491        0.5507241
1552767_a_at    1.9984521       1.8696585
1552768_at      0.7476702       1.025452
1552769_at      1.0926886       1.1596705
1552770_s_at    1.1025926       1.2360137
1552771_a_at    0.49868923      0.96201277
1552772_at      0.5230515       0.9851986
1552773_at      0.5285031       1.0144014
1552774_a_at    0.32285067      0.46396464
1552775_at      0.83309513      0.97481394
1552777_a_at    0.65324396      1.0907841
1552779_a_at    0.9769793       0.64312583
1552782_at      0.89908534      0.95015866
1552783_at      1.5821786       1.4876789
1552785_at      0.9832072       0.9936561
1552787_at      1.7195841       1.8494422
1552788_a_at    0.90771145      1.692543
1552789_at      0.4670305       0.4286976
1552790_a_at    0.52044994      0.6089183
1552791_a_at    0.6929509       1.2265619
1552792_at      0.81355536      0.68527436
